keyword,travel_style,dep_dt,arr_dt,evt_status_nm,evt_nm1,evt_nm2,god_nm1,god_nm2,menu_4lvl_nm,price_adt,evt_dt_cnt,evt_night_cnt,carrier,dep_place,event_code,god_id,detail_url
다낭,휴양형,20260328,20260401,행사취소,"★초특가/출발임박★대구 [여행 그 이상의 경험] 다낭,호이안 5일",▶[코트야드 바이 메리어트][2025년 신규 오픈],"대구 [여행 그 이상의 경험] 다낭,호이안 5일",▶[코트야드 바이 메리어트(RIVER VIEW ROOM)] (2025신규오픈),다낭/호이안,469000,5,3,티웨이항공,대구,B27A260328TW065,64320,
다낭,휴양형,20260613,20260617,판매중,"#선착순6명특가[RS][웹예약한정] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],"[주말특가][지금 더 특별한 여행 ALL SUITE] 다낭,호이안 4/5일",▶[멜리아빈펄(스위트룸)],다낭/호이안/후에,479000,5,3,에어서울,인천,B27A260613RS023,63314,
다낭,휴양형,20260627,20260701,판매중,"부산 [진에어] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],"부산 [지금 더 특별한 여행 ALL SUITE] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],BEST 인기상품,499000,5,3,진에어,부산,B27A260627LJ022,62443,
다낭,휴양형,20260413,20260417,행사취소,"부산 [진에어_183] 다낭,호이안 5일",▶[래디슨],"부산 [다시, 푸른바다 미케비치 위에 서다] 다낭,호이안 5일",▶[래디슨],다낭/호이안,499000,5,3,진에어,부산,B27A260413LJ031,63032,
다낭,휴양형,20260610,20260614,판매중,"[주말특가] 대구 [지금 더 특별한 여행 ALL SUITE] 다낭,호이안 5일/6일",▶[멜리아빈펄(스위트룸)],"[주말특가] 대구 [지금 더 특별한 여행 ALL SUITE] 다낭,호이안 5일/6일",▶[멜리아빈펄(스위트룸)],다낭/호이안,499000,5,3,티웨이항공,대구,B27A260610TW088,63501,
다낭,휴양형,20260328,20260402,판매마감,"★초특가★대구 [4박6일][NO팁/NO옵션] 다낭,호이안 5일",▶5성급호텔+마사지2회+바구니배+씨클로+한강유람선,"대구 [NO팁/NO옵션] 다낭,호이안 5일/6일",▶5성급호텔+마사지2회+바구니배+씨클로+한강유람선,다낭/호이안,499000,6,4,티웨이항공,대구,B27A260328TW126,60707,
다낭,휴양형,20260329,20260403,판매마감,"대구 [4N6D][지금 더 특별한 여행 ALL SUITE] 다낭,호이안 6일",▶[멜리아빈펄(스위트룸)],"대구 [지금 더 특별한 여행 ALL SUITE] 다낭,호이안 5일/6일",▶[멜리아빈펄(스위트룸)],다낭/호이안,519000,6,4,티웨이항공,대구,B27A260329TW117,62417,
다낭,휴양형,20260323,20260327,행사취소,"부산 [진에어_LJ183][NO팁_NO옵션_자유시간 보장] 다낭,호이안 5일",▶[5성급호텔],"부산 [NO팁_NO옵션_자유시간 보장] 다낭,호이안 5일",▶[5성급호텔],다낭/호이안,529000,5,3,진에어,부산,B27A260323LJ062,62653,
다낭,휴양형,20260628,20260702,판매중,"[TW013] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],"[정통][지금 더 특별한 여행 ALL SUITE] 다낭,호이안 4/5일",▶[멜리아빈펄(스위트룸)],다낭/호이안/후에,539000,5,3,티웨이항공,인천,B27A260628TW067,62401,
다낭,휴양형,20260613,20260617,판매중,"[TW013] 다낭,호이안 5일",▶[포 포인츠 바이 쉐라톤],"[정통][식사에 진심, 미식의 향연] 다낭,호이안 4/5일",▶[포 포인츠 바이 쉐라톤],다낭/호이안/후에,539000,5,3,티웨이항공,인천,B27A260613TW073,62122,
다낭,휴양형,20260606,20260610,판매중,"[TW013] 다낭,호이안 5일",▶[노보텔],"[정통][다채로움으로 기억되는] 다낭,호이안 4/5일",▶[노보텔],다낭/호이안/후에,549000,5,3,티웨이항공,인천,B27A260606TW075,60490,
다낭,휴양형,20260616,20260620,판매중,"부산 [에어부산] 다낭,호이안 5일",▶[코트야드 by 메리어트(2025년 신규오픈)],"부산 [여행 그 이상의 경험] 다낭,호이안 5일",▶[코트야드 바이 메리어트(RIVER VIEW ROOM)](2025신규오픈),BEST 인기상품,549000,5,3,에어부산,부산,B27A260616BX003,64318,
다낭,휴양형,20260608,20260612,판매중,"[TW013] 다낭,호이안 5일",▶[래디슨],"[정통][다시, 푸른바다 미케비치 위에 서다] 다낭,호이안 4/5일",▶[래디슨],다낭/호이안/후에,559000,5,3,티웨이항공,인천,B27A260608TW063,63002,
다낭,휴양형,20260420,20260424,판매중,"#선착순6명특가 699→569[RS] 다낭,호이안 5일",▶[코트야드 바이 메리어트(RIVER VIEW ROOM)](2025신규오픈),"★3월 프로모션★[정통][여행 그 이상의 경험] 다낭,호이안 4/5일",▶[코트야드 바이 메리어트(RIVER VIEW ROOM)](2025신규오픈),다낭/호이안/후에,569000,5,3,에어서울,인천,B27A260420RS012,64264,
다낭,휴양형,20260328,20260401,행사취소,"대구 [NO옵션][THE NEW PREMIUM] 다낭,호이안 5일",▶[힐튼],"대구 [NO옵션][THE NEW PREMIUM 더할 나위 없는 완벽한] 다낭,호이안 5일/6일",▶[힐튼],NO옵션,599000,5,3,티웨이항공,대구,B27A260328TW067,64194,
다낭,휴양형,20260323,20260327,행사취소,"부산 [오전출발][NO팁_NO옵션] 다낭,호이안 5일",▶[5성급호텔],"부산 [NO팁_NO옵션] 다낭,호이안 5일",▶[5성급호텔],다낭/호이안,599000,5,3,비엣젯,부산,B27A260323VJ012,65705,
다낭,휴양형,20260321,20260325,행사취소,"부산 [대한항공][자유여행] 다낭,호이안 5일",▶[미카즈키 다낭 리조트],부산 [자유여행][미카즈키 리조트],"▶다낭,호이안 5일",휴양 & 자유여행,629000,5,3,대한항공,부산,B27A260321KE067,65295,
다낭,휴양형,20260628,20260702,판매중,"부산 [진에어][NO옵션/쇼핑2회] 다낭,호이안 5일",▶[노보텔],"부산 [야경이 완성하는 시그니처][NO옵션/쇼핑2회] 다낭,호이안 5일",▶[노보텔],다낭/호이안,649000,5,3,진에어,부산,B27A260628LJ057,65714,
다낭,휴양형,20260323,20260327,판매마감,"대구 [다시, 푸른바다 미케비치 위에 서다] 다낭,호이안 5일",▶[래디슨],"대구 [다시, 푸른바다 미케비치 위에 서다] 다낭,호이안 5일",▶[래디슨],다낭/호이안,649000,5,3,티웨이항공,대구,B27A260323TW122,65462,
다낭,휴양형,20260322,20260326,판매마감,"부산 [에어부산] 다낭,호이안 5일",▶[힐튼],"부산 [완벽한 나의 N번째 여행] 다낭,호이안 5일",▶[힐튼],다낭/호이안,659000,5,3,에어부산,부산,B27A260322BX005,61311,
다낭,휴양형,20260328,20260401,행사취소,"대구 ▶Y25 NEW◀[THE COLLECTION][NO옵션][모든 순간이 프리미엄, STAY IN SHILLA] 다낭,호이안 5일",▶[신라모노그램](롯데유일),"대구 [NO옵션][모든 순간이 프리미엄, STAY IN SHILLA] 다낭,호이안 5일/6일",▶[신라모노그램](롯데유일),NO옵션,669000,5,3,티웨이항공,대구,B27A260328TW113,65299,
다낭,휴양형,20260329,20260403,판매마감,"★출발확정★대구 [4N6D][야경이 완성하는 시그니처][NO옵션/쇼핑2회] 다낭,호이안 6일",▶[노보텔],"대구 [야경이 완성하는 시그니처][NO옵션/쇼핑2회] 다낭,호이안 5일/6일",▶[노보텔],NO옵션,669000,6,4,티웨이항공,대구,B27A260329TW120,65682,
다낭,휴양형,20261101,20261105,판매중,"청주 [TW] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],"청주 [지금 더 특별한 여행 ALL SUITE] 다낭,호이안 5/6일",▶[멜리아빈펄(스위트룸)],베트남-다낭/호이안,689000,5,3,티웨이항공,청주,B27A261101TW008,62447,
다낭,휴양형,20260614,20260618,판매중,"[RS][웹예약한정][NO옵션] 다낭,호이안 5일",▶[힐튼],"[주말특가][NO옵션][THE NEW PREMIUM 더할 나위 없는 완벽한] 다낭,호이안 4/5일",▶[힐튼],다낭/호이안/후에,689000,5,3,에어서울,인천,B27A260614RS024,64361,
다낭,휴양형,20260615,20260619,판매중,"부산[에어부산_BX7315][롯데유일] 다낭,호이안 5일",▶[신라모노그램],"부산 [신라호텔의 첫걸음, 격이 다른 신라모노그램] 다낭,호이안 5일",▶[신라모노그램],다낭/호이안,699000,5,3,에어부산,부산,B27A260615BX016,58695,
다낭,휴양형,20260622,20260626,판매중,"부산 [에어부산]★초특가★[NO옵션] 다낭,호이안 5일",▶[신라모노그램](롯데유일),"부산 [NO옵션][모든 순간이 프리미엄, STAY IN SHILLA] 다낭,호이안 5일",▶[신라모노그램](롯데유일),NO옵션,699000,5,3,에어부산,부산,B27A260622BX008,62325,
다낭,휴양형,20261101,20261105,행사취소,"청주 [정통][완벽한 나의 N번째 여행] 다낭,호이안 5일",▶[힐튼],"청주 [정통][완벽한 나의 N번째 여행] 다낭,호이안 5/6일",▶[힐튼],베트남-다낭/호이안,699000,5,3,티웨이항공,청주,B27A261101TW004,63143,
다낭,휴양형,20260322,20260326,행사취소,"부산 [오전출발][NO옵션] 다낭,호이안 5일","▶[보코 마 벨 다낭, IHG]","부산 [NO옵션][완벽한 선택, 그리고 특별한 기억] 다낭,호이안 5일","▶[보코 마 벨 다낭, IHG]",다낭/호이안,699000,5,3,비엣젯,부산,B27A260322VJ001,64130,
다낭,휴양형,20260901,20260905,판매중,"부산 [진에어][NO옵션] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],"부산 [0320_21 현대플러스][NO옵션][머무는 순간까지 ALL SUITE] 다낭,호이안 5/6일",▶[멜리아빈펄(스위트룸)],NO옵션,699000,5,3,진에어,부산,B27A260901LJ055,65955,
다낭,휴양형,20260526,20260530,판매중,"☆확정임박☆[RS][NO옵션/쇼핑2회] 다낭,호이안 5일",▶[노보텔],"[정통][야경이 완성하는 시그니처][NO옵션/쇼핑2회] 다낭,호이안 4/5일",▶[노보텔],NO옵션,719000,5,3,에어서울,인천,B27A260526RS026,65658,
다낭,휴양형,20261101,20261105,판매중,"청주 [TW] 다낭,호이안 5일",▶[코트야드 바이 메리어트](2025신규오픈),"청주 [정통][여행 그 이상의 경험] 다낭,호이안 5일",▶[코트야드 바이 메리어트](2025신규오픈),베트남-다낭/호이안,719000,5,3,티웨이항공,청주,B27A261101TW003,64330,
다낭,휴양형,20260613,20260617,판매중,"[TW013][롯데유일] 다낭,호이안 5일",▶[신라모노그램](롯데유일),"[정통][신라호텔의 첫걸음, 격이 다른 신라모노그램 다낭] 다낭,호이안 4/5일",▶[신라모노그램](롯데유일),다낭/호이안/후에,729000,5,3,티웨이항공,인천,B27A260613TW068,58675,
다낭,휴양형,20260621,20260625,판매중,"#3월한정선착순특가[RS][NO옵션] 다낭,호이안 5일",▶[멜리아 다낭 비치 리조트_신관UP],"★3월 프로모션★[정통][NO옵션][마음 속 쉼표가 필요할 때, HEALING IN] 다낭,호이안 4/5일",▶[멜리아 다낭 비치 리조트_신관UP],NO옵션,729000,5,3,에어서울,인천,B27A260621RS019,64529,
다낭,휴양형,20260420,20260424,판매중,"[RS][NO옵션] 다낭,호이안 5일",▶[멜리아빈펄(스위트룸)],"[0320_21 현대플러스][NO옵션][머무는 순간까지 ALL SUITE] 다낭,호이안 4/5일",▶[멜리아빈펄(스위트룸)],다낭/호이안/후에,729000,5,3,에어서울,인천,B27A260420RS030,65911,
다낭,휴양형,20260623,20260627,판매중,"[TW013][NO옵션] 다낭,호이안 5일","▶[보코 마 벨 다낭, IHG]","[정통][NO옵션][완벽한 선택, 그리고 특별한 기억] 다낭,호이안 4/5일","▶[보코 마 벨 다낭, IHG]",다낭/호이안/후에,739000,5,3,티웨이항공,인천,B27A260623TW072,64108,
다낭,휴양형,20260323,20260327,행사취소,"부산 [오전출발][NO옵션] 다낭,호이안 5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),"부산 [NO옵션][PREMIUM COLLECTION_모든 것이 특별한 ALL SUITE] 다낭,호이안 5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),다낭/호이안,749000,5,3,비엣젯,부산,B27A260323VJ008,65262,
다낭,휴양형,20260913,20260917,판매중,부산 [진에어][자유여행][코트야드by메리어트],"▶다낭,호이안 5일",부산 [자유여행][코트야드by메리어트],"▶다낭,호이안 5일",휴양 & 자유여행,749000,5,3,진에어,부산,B27A260913LJ053,65953,
다낭,휴양형,20260329,20260402,행사취소,"부산 [대한항공][NO옵션] 다낭,호이안 5일",▶[힐튼다낭],"부산 [NO옵션][THE NEW PREMIUM 더할 나위 없는 완벽한] 다낭,호이안 5일",▶[힐튼],NO옵션,749000,5,3,대한항공,부산,B27A260329KE042,64189,
다낭,휴양형,20260609,20260613,판매중,"#3월한정선착순특가[TW013][NO옵션] 다낭,호이안 5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),"★3월 프로모션★[정통][NO옵션][PREMIUM COLLECTION] 다낭,호이안 4/5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),NO옵션,759000,5,3,티웨이항공,인천,B27A260609TW051,65248,
다낭,휴양형,20260404,20260408,행사취소,"[TW011][NO옵션] 다낭,호이안 5일","▶[크라운 플라자 다낭 시티 센터, IHG]","XXX[정통][NO옵션][다낭, 그 순간을 체크인: 잊지 못할 여행의 기록] 다낭,호이안 4/5일","▶[크라운 플라자 다낭 시티 센터, IHG]",NO옵션,769000,5,3,티웨이항공,인천,B27A260404TW035,63381,
다낭,휴양형,20260616,20260620,판매중,"[TW013][NO팁/NO쇼핑] 다낭,호이안 5일","▶[크라운 플라자 시티 센터, IHG]","★3월 프로모션★[정통][THE COLLECTION][NO팁/NO쇼핑][이 순간, 특별함을 담은 여행기록] 다낭,호이안 4/5일","▶[크라운 플라자 시티 센터, IHG]",다낭/호이안/후에,799000,5,3,티웨이항공,인천,B27A260616TW078,63442,
다낭,휴양형,20260629,20260703,판매중,부산 [진에어][자유여행_풀빌라][메리어트 리조트 & 스파],"▶다낭,호이안 5일",부산 [자유여행_풀빌라][메리어트 리조트 & 스파],"▶다낭,호이안 5일",다낭/호이안,799000,5,3,진에어,부산,B27A260629LJ060,65951,
다낭,휴양형,20260325,20260329,판매마감,"청주 [TW][미식ing] 다낭,호이안 5일",▶[포포인츠 바이 쉐라톤],"청주 [정통][미식ing][식사에 진심, 미식의 향연] 다낭,호이안 5일",▶[포포인츠 바이 쉐라톤],베트남-다낭/호이안,799000,5,3,티웨이항공,청주,B27A260325TW069,62145,
다낭,휴양형,20260606,20260610,판매중,"[TW013][NO옵션] 다낭,호이안 5일",▶[신라모노그램](롯데관광 단독계약),"[홈쇼핑HIT][NO옵션][모든 순간이 프리미엄, STAY IN SHILLA] 다낭,호이안 4/5일",▶[신라모노그램](롯데유일),NO옵션,809000,5,3,티웨이항공,인천,B27A260606TW047,65139,
다낭,휴양형,20260325,20260329,판매마감,"청주 [TW][데일리마사지] 다낭,호이안 5일",▶[래디슨],"청주 [다시, 푸른바다 미케비치 위에 서다][데일리마사지] 다낭,호이안 5일",▶[래디슨],베트남-다낭/호이안,829000,5,3,티웨이항공,청주,B27A260325TW129,63046,
다낭,휴양형,20261123,20261127,판매중,"청주 [NO옵션][다낭, 그 순간을 체크인: 잊지 못할 여행의 기록] 다낭,호이안 5일","▶[크라운 플라자 다낭 시티 센터, IHG]","청주 [NO옵션][다낭, 그 순간을 체크인: 잊지 못할 여행의 기록] 다낭,호이안 5/6일","▶[크라운 플라자 다낭 시티 센터, IHG]",베트남-다낭/호이안,839000,5,3,티웨이항공,청주,B27A261123TW002,64181,
다낭,휴양형,20260628,20260702,판매중,"[TW013][NO팁/NO옵션/쇼핑2회] 다낭,호이안 5일","▶[크라운 플라자 시티 센터, IHG]","[정통][THE COLLECTION][NO팁/NO옵션/쇼핑2회][취향을 채우다, 더 특별해질 여행] 다낭,호이안 4/5일","▶[크라운 플라자 시티 센터, IHG]",THE COLLECTION,859000,5,3,티웨이항공,인천,B27A260628TW080,63437,
다낭,휴양형,20261101,20261105,판매중,"청주 [TW][NO옵션] 다낭,호이안 5일","▶[보코 마 벨 다낭, IHG]","청주 [정통][NO옵션][완벽한 선택, 그리고 특별한 기억] 다낭,호이안 5/6일","▶[보코 마 벨 다낭, IHG]",베트남-다낭/호이안,869000,5,3,티웨이항공,청주,B27A261101TW005,64133,
다낭,휴양형,20260330,20260403,판매중,"청주 [TW] 다낭,호이안 5일",▶[신라모노그램],"청주 [정통][신라호텔의 첫걸음, 격이 다른 신라모노그램 다낭] 다낭,호이안 5일",▶[신라모노그램],베트남-다낭/호이안,879000,5,3,티웨이항공,청주,B27A260330TW086,64783,
다낭,휴양형,20260609,20260613,판매중,"#3월한정특가[TW013][NO팁/NO옵션/쇼핑1회] 다낭,호이안 5일",▶[노보텔],"★3월 프로모션★[정통][THE COLLECTION][NO팁/NO옵션/쇼핑1회][마음에 남는 여행의 한 페이지] 다낭,호이안 4/5일",▶[노보텔],THE COLLECTION,889000,5,3,티웨이항공,인천,B27A260609TW079,64455,
다낭,휴양형,20260321,20260325,판매마감,"대구 [NO옵션][PREMIUM COLLECTION_모든 것이 특별한 ALL SUITE] 다낭,호이안 5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),"대구 [NO옵션][PREMIUM COLLECTION_모든 것이 특별한 ALL SUITE] 다낭,호이안 5일",▶[윈덤 솔레일(스위트룸)](2025 신규오픈),NO옵션,899000,5,3,티웨이항공,대구,B27A260321TW110,65271,
